epsilon_in(e),epsilon_out(E),nanoparticle_charge(V),counterion_valency(v),total_gridpoints(g),cpmd_fake_mass(M),fake_temperature(k),R,R_v,FD,Good(1)/Bad(0),Time
2,30,-100,2,752,50,0.015,0.0376223,1.0516,-0.115362,0,61m13.895s
160,78.5,-100,1,752,30,0.0025,0.0160704,0.508496,-0.115446,0,75m25.033s
160,30,-60,1,1692,50,0.0025,0.0230763,0.522547,-0.115603,0,277m22.518s
160,78.5,-100,3,132,36,0.025,3021.19,570.796,-0.115781,0,11m8.168s
2,78.5,-100,2,752,100,0.005,0.0105667,0.747124,-0.115812,0,67m38.249s
2,30,-100,1,1692,36,0.005,0.00890887,1.1405,-0.115923,0,302m18.151s
2,30,-100,3,1692,6,0.005,0.0382535,0.333521,-0.116023,0,264m1.500s
160,78.5,-100,1,132,3,0.005,0.0297334,4.25787,-0.116317,0,15m37.690s
2,150,-60,2,132,3,0.0025,0.00621407,0.577374,-0.116472,0,10m47.060s
2,30,-60,1,752,100,0.005,0.0143037,0.599276,-0.116784,0,65m45.578s
160,150,-100,1,752,36,0.001,0.00717842,0.517459,-0.116961,0,111m54.260s
2,78.5,-60,1,752,50,0.001,0.00153051,0.120432,-0.117038,1,63m48.606s
2,30,-20,3,132,100,0.005,0.0279202,0.827483,-0.117086,0,35m32.751s
2,30,-60,1,1692,3,0.001,0.0338592,0.668683,-0.117256,0,279m29.945s
160,78.5,-100,3,132,100,0.025,59455.7,220017,-0.117343,0,10m34.233s
160,78.5,-60,1,752,50,0.001,0.00178079,0.109665,-0.117694,1,63m26.042s
2,150,-60,1,132,30,0.0025,0.00128608,0.129026,-0.117795,1,12m22.096s
2,30,-60,3,752,18,0.005,0.0308331,1.25882,-0.117978,0,57m21.623s
2,30,-100,3,132,18,0.1,0.256021,2.46645,-0.118289,0,10m37.559s
2,30,-100,1,1692,30,0.005,0.00978552,0.869242,-0.118588,0,301m50.674s
160,150,-100,3,752,50,0.001,0.0381833,1.55205,-0.118822,0,96m48.818s
160,150,-100,2,752,50,0.001,0.0245541,1.06465,-0.118863,0,90m7.903s
2,30,-100,1,1692,18,0.005,0.010128,0.80666,-0.118991,0,301m16.218s
2,150,-60,1,132,50,0.0025,0.00178673,0.167922,-0.119094,0,12m41.213s
2,30,-100,2,752,100,0.015,0.037046,1.0745,-0.119124,0,61m1.303s
2,78.5,-60,1,752,30,0.001,0.00332172,0.147108,-0.119406,1,63m41.794s
2,150,-60,1,132,18,0.0025,0.0015862,0.135082,-0.120787,1,12m27.076s
2,30,-60,2,132,3,0.025,0.0111286,0.286496,-0.121347,0,13m2.900s
160,150,-60,1,132,50,0.0025,0.0020848,0.201408,-0.121457,0,43m24.373s
